"","x"
"1","*Are you self-employed?*"
"2","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?"
"3","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?"
"4","*Do you have previous employers?*"
"5","Have your previous employers provided mental health benefits?"
"6","Were you aware of the options for mental health care provided by your previous employers?"
"7","Would you have been willing to discuss your mental health with your coworkers at previous employers?"
"8","Do you *currently* have a mental health disorder?"
"9","Have you ever been *diagnosed* with a mental health disorder?"
"10","*What disorder(s) have you been diagnosed with?*"
"11","*If possibly, what disorder(s) do you believe you have?*"
"12","*If so, what disorder(s) were you diagnosed with?*"
"13","If you have a mental health disorder, how often do you feel that it interferes with your work *when being treated effectively?*"
"14","If you have a mental health disorder, how often do you feel that it interferes with your work *when* _*NOT*_* being treated effectively (i.e., when you are experiencing symptoms)?*"
"15","Would you bring up your *mental* health with a potential employer in an interview?"
"16","If they knew you suffered from a mental health disorder, how do you think that your team members/co-workers would react?"
"17","Have you observed or experienced an *unsupportive or badly handled response* to a mental health issue in your current or previous workplace?"
"18","Have you observed or experienced a *supportive or well handled response* to a mental health issue in your current or previous workplace?"
"19","Would you be willing to talk to one of us more extensively about your experiences with mental health issues in the tech industry? (Note that all interview responses would be used _anonymously_ and only with your permission.)"
"20","What country do you *live* in?"
"21","What US state or territory do you *live* in?"
"22","What country do you *work* in?"
"23","What US state or territory do you *work* in?"
