"","x"
"1","How many employees does your company or organization have?"
"2","Is your employer primarily a tech company/organization?"
"3","Is your primary role within your company related to tech/IT?"
"4","Does your employer provide mental health benefits as part of healthcare coverage?"
"5","Do you know the options for mental health care available under your employer-provided health coverage?"
"6","Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?"
"7","Does your employer offer resources to learn more about mental health disorders and options for seeking help?"
"8","Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?"
"9","If a mental health issue prompted you to request a medical leave from work, how easy or difficult would it be to ask for that leave?"
"10","Would you feel more comfortable talking to your coworkers about your physical health or your mental health?"
"11","Would you feel comfortable discussing a mental health issue with your direct supervisor(s)?"
"12","Have you ever discussed your mental health with your employer?"
"13","Describe the conversation you had with your employer about your mental health, including their reactions and what actions were taken to address your mental health issue/questions."
"14","Would you feel comfortable discussing a mental health issue with your coworkers?"
"15","Have you ever discussed your mental health with coworkers?"
"16","Describe the conversation with coworkers you had about your mental health including their reactions."
"17","Have you ever had a coworker discuss their or another coworker's mental health with you?"
"18","Describe the conversation your coworker had with you about their mental health (please do not use names)."
"19","Overall, how much importance does your employer place on physical health?"
"20","Overall, how much importance does your employer place on mental health?"
"21","Do you have medical coverage (private insurance or state-provided) that includes treatment of mental health disorders?"
"22","Do you know local or online resources to seek help for a mental health issue?"
"23","If you have revealed a mental health disorder to a client or business contact, how has this affected you or the relationship?"
"24","If you have revealed a mental health disorder to a coworker or employee, how has this impacted you or the relationship?"
"25","Do you believe your productivity is ever affected by a mental health issue?"
"26","If yes, what percentage of your work time (time performing primary or secondary job functions) is affected by a mental health issue?"
"27","Was your employer primarily a tech company/organization?"
"28","Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?"
"29","Did your previous employers provide resources to learn more about mental health disorders and how to seek help?"
"30","Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?"
"31","Would you have felt more comfortable talking to your previous employer about your physical health or your mental health?"
"32","Would you have been willing to discuss your mental health with your direct supervisor(s)?"
"33","Did you ever discuss your mental health with your previous employer?"
"34","Describe the conversation you had with your previous employer about your mental health, including their reactions and actions taken to address your mental health issue/questions."
"35","Did you ever discuss your mental health with a previous coworker(s)?"
"36","Describe the conversation you had with your previous coworkers about your mental health including their reactions."
"37","Did you ever have a previous coworker discuss their or another coworker's mental health with you?"
"38","Describe the conversation your coworker had with you about their mental health (please do not use names)._1"
"39","Overall, how much importance did your previous employer place on physical health?"
"40","Overall, how much importance did your previous employer place on mental health?"
"41","Have you had a mental health disorder in the past?"
"42","Have you ever sought treatment for a mental health disorder from a mental health professional?"
"43","Do you have a family history of mental illness?"
"44","Have your observations of how another individual who discussed a mental health issue made you less likely to reveal a mental health issue yourself in your current workplace?"
"45","How willing would you be to share with friends and family that you have a mental illness?"
"46","Would you be willing to bring up a physical health issue with a potential employer in an interview?"
"47","Why or why not?"
"48","Why or why not?_1"
"49","Are you openly identified at work as a person with a mental health issue?"
"50","Has being identified as a person with a mental health issue affected your career?"
"51","How has it affected your career?"
"52","Describe the circumstances of the badly handled or unsupportive response."
"53","Describe the circumstances of the supportive or well handled response."
"54","Overall, how well do you think the tech industry supports employees with mental health issues?"
"55","Briefly describe what you think the industry as a whole and/or employers could do to improve mental health support for employees."
"56","If there is anything else you would like to tell us that has not been covered by the survey questions, please use this space to do so."
"57","What is your age?"
"58","What is your gender?"
"59","What is your race?"
"60","year"
